website,city,country,name,state,postgraduate_num,rank,undergraduate_num
"全日制23,155；非全日制1,730*(2)",诺丁汉大学 ,104,诺丁汉,"全日制5,740；非全日制2,645*(2)",英格兰,英国,www.nottingham.ac.uk
"18,608*(3)",加州大学河滨分校 ,102,河滨,-,加利福尼亚州,美国,www.ucr.edu
"全日制2,320；非全日制945*(2)",利兹大学 ,100,"利兹,*(1)","全日制4,950；非全日制2,760*(2)","英格兰,*(1)",英国,www.leeds.ac.uk
"2.9Km,2,，郊区*(1)",华威大学 ,110,考文垂,"25,245（含全日制与非全日制学生）",英格兰,英国,综合性大学
"全日制17,530；非全日制1,055*(2)",谢菲尔德大学 ,105,"谢菲尔德,*(1)","全日制6,075；非全日制1,940*(2)",英格兰,英国*(1),
"41,828*(4)",亚利桑那州立大学 ,97,"坦佩,、,菲尼克斯,、梅沙、哈瓦苏湖城","10,156*(4)",亚利桑那州,美国,www.asu.edu
"23,794*(4)",犹他大学 ,96,盐湖城,"7,757*(4)",犹他州,美国,www.utah.edu
"22,748*(5)",马萨诸塞大学阿默斯特分校 ,91,阿默斯特,"6,521*(5)",马萨诸塞州,美国,www.umass.edu
"38,364*(4)",印第安纳大学伯明顿分校 ,93,伯明顿,"10,150*(4)",印第安纳州,美国,www.iub.edu
"15,750*(5)",阿德雷德大学 ,88,阿德雷德,"4,725*(5)",南澳大利亚州,澳大利亚,www.adelaide.edu.au
"9,470",罗切斯特大学 ,83,罗彻斯特（Rochester）,"6,046*(5)",纽约州,美国,"中部各州学院及学校协会,（MSACS）*(4)"
"全日制11,380；非全日制15*(2)",伦敦大学玛丽女王学院 ,86,"伦敦,*(1)","全日制3,540；非全日制1,030*(2)","英格兰,*(1)",英国*(1),http://www.qmul.ac.uk/*(1)
"15,669*(5)",弗吉尼亚大学 ,82,夏洛特维尔,"6,316*(5)",弗吉尼亚州,美国,www.virginia.edu
"全日制18,140；非全日制1,045*(2)",伯明翰大学 ,81,"伯明翰,*(1)","全日制7,845；非全日制5,310*(2)","英格兰,*(1)",英国,
"29,497*(4)",普渡大学西拉法叶分校 ,79,西拉法叶,"9,912",印第安纳州,美国,www.purdue.edu
